root_index,xl,xu,x,relative_error,tol,iter,function,method
1,-184.5693717724,0.2650849785,0.2650849785,273.4168465051,0.0001000000,82,(x/2) - tan(2*x),False Position
1,-184.5693717724,0.3824761369,0.3824761369,30.6924137523,0.0001000000,83,(x/2) - tan(2*x),False Position
1,-184.5693717724,0.5816236239,0.5816236239,34.2399240395,0.0001000000,84,(x/2) - tan(2*x),False Position
1,-184.5693717724,1.1078739176,1.1078739176,47.5009191317,0.0001000000,85,(x/2) - tan(2*x),False Position
1,-184.5693717724,0.6198686872,0.6198686872,78.7271950470,0.0001000000,86,(x/2) - tan(2*x),False Position
1,-184.5693717724,1.2959367478,1.2959367478,52.1682915255,0.0001000000,87,(x/2) - tan(2*x),False Position
1,-184.5693717724,0.9686403711,0.9686403711,33.7892562105,0.0001000000,88,(x/2) - tan(2*x),False Position
1,-184.5693717724,0.1699586194,0.1699586194,469.9271825065,0.0001000000,89,(x/2) - tan(2*x),False Position
1,-184.5693717724,0.2394344603,0.2394344603,29.0166423020,0.0001000000,90,(x/2) - tan(2*x),False Position
1,-184.5693717724,0.3427905939,0.3427905939,30.1513913790,0.0001000000,91,(x/2) - tan(2*x),False Position
1,-184.5693717724,0.5102286519,0.5102286519,32.8162790096,0.0001000000,92,(x/2) - tan(2*x),False Position
1,-184.5693717724,0.8669256613,0.8669256613,41.1450514563,0.0001000000,93,(x/2) - tan(2*x),False Position
1,-184.5693717724,-0.8074968542,-0.8074968542,207.3596332704,0.0001000000,94,(x/2) - tan(2*x),False Position
1,-184.5693717724,5.3072637937,5.3072637937,115.2149372172,0.0001000000,95,(x/2) - tan(2*x),False Position
1,-184.5693717724,5.2654154297,5.2654154297,0.7947780101,0.0001000000,96,(x/2) - tan(2*x),False Position
1,-184.5693717724,5.0960484396,5.0960484396,3.3234964711,0.0001000000,97,(x/2) - tan(2*x),False Position
1,-184.5693717724,4.6767163521,4.6767163521,8.9663784580,0.0001000000,98,(x/2) - tan(2*x),False Position
1,-184.5693717724,4.0407248181,4.0407248181,15.7395408665,0.0001000000,99,(x/2) - tan(2*x),False Position
1,-184.5693717724,2.3820805043,2.3820805043,69.6300696280,0.0001000000,100,(x/2) - tan(2*x),False Position
2,5.0000000000,5.2633610953,5.2633610953,1.6460756366,0.0001000000,1,(x/2) - tan(2*x),False Position
2,5.0000000000,5.4083470727,5.4083470727,2.6807816775,0.0001000000,2,(x/2) - tan(2*x),False Position
2,5.1616297293,5.4083470727,5.1616297293,4.7798342077,0.0001000000,3,(x/2) - tan(2*x),False Position
2,5.2403571853,5.4083470727,5.2403571853,1.5023299616,0.0001000000,4,(x/2) - tan(2*x),False Position
2,5.2792895845,5.4083470727,5.2792895845,0.7374552687,0.0001000000,5,(x/2) - tan(2*x),False Position
2,5.2986503778,5.4083470727,5.2986503778,0.3653910310,0.0001000000,6,(x/2) - tan(2*x),False Position
2,5.3083019995,5.4083470727,5.3083019995,0.1818212622,0.0001000000,7,(x/2) - tan(2*x),False Position
2,5.3131190288,5.4083470727,5.3131190288,0.0906629291,0.0001000000,8,(x/2) - tan(2*x),False Position
2,5.3155245112,5.4083470727,5.3155245112,0.0452539054,0.0001000000,9,(x/2) - tan(2*x),False Position
2,5.3167260709,5.4083470727,5.3167260709,0.0225996150,0.0001000000,10,(x/2) - tan(2*x),False Position
2,5.3173263429,5.4083470727,5.3173263429,0.0112889832,0.0001000000,11,(x/2) - tan(2*x),False Position
2,5.3176262459,5.4083470727,5.3176262459,0.0056397892,0.0001000000,12,(x/2) - tan(2*x),False Position
2,5.3177760860,5.4083470727,5.3177760860,0.0028177211,0.0001000000,13,(x/2) - tan(2*x),False Position
